19679,20000016,1986,M,CAF,2101,CAF - Tecnologia em Gestão Ambiental,MG,"Florestal, MG, Brasil",2008/1,2009/2,C,Conclusão,Conclusão,NaN,NaN,0,Branco(a),84.4,22,23,1,0.000000
19680,20000040,1987,M,CAF,2101,CAF - Tecnologia em Gestão Ambiental,MG,"Viçosa, MG, Brasil",2008/1,2010/1,C,Conclusão,Conclusão,NaN,NaN,2,Amarelo(a),69.5,21,23,2,188.120303
19681,20000009,1986,F,CAF,2101,CAF - Tecnologia em Gestão Ambiental,MG,"Florestal, MG, Brasil",2008/1,2009/2,C,Conclusão,Conclusão,NaN,NaN,0,NaN,87.0,22,23,1,0.000000
19682,20000007,1978,F,CAF,2101,CAF - Tecnologia em Gestão Ambiental,MG,"Florestal, MG, Brasil",2008/1,2009/2,C,Conclusão,Conclusão,NaN,NaN,0,NaN,86.7,30,31,1,0.000000
19683,20000012,1990,M,CAF,2101,CAF - Tecnologia em Gestão Ambiental,MG,"Belo Horizonte, MG, Brasil",2008/1,2009/2,C,Conclusão,Conclusão,NaN,NaN,0,Branco(a),85.0,18,19,1,51.074801
19684,20000020,1987,F,CAF,2101,CAF - Tecnologia em Gestão Ambiental,MG,"Resplendor, MG, Brasil",2008/1,2009/2,C,Conclusão,Conclusão,NaN,NaN,0,NaN,81.7,21,22,1,338.939228
19685,20000021,1989,F,CAF,2101,CAF - Tecnologia em Gestão Ambiental,MG,"Pará de Minas, MG, Brasil",2008/1,2009/2,C,Conclusão,Conclusão,NaN,NaN,0,NaN,81.3,19,20,1,18.695257
19686,20000022,1989,F,CAF,2101,CAF - Tecnologia em Gestão Ambiental,MG,"Contagem, MG, Brasil",2008/1,2009/2,C,Conclusão,Conclusão,NaN,NaN,0,NaN,78.2,19,20,1,36.483760
19687,20000043,1977,F,CAF,2102,CAF - Tecnologia em Análise e Desenvolvimento de Sistemas,MG,"Belo Horizonte, MG, Brasil",2008/1,2008/1,A,Abandono,Evasão,NaN,NaN,7,NaN,0.7,31,31,0,51.074801
19688,20000054,1989,F,CAF,2102,CAF - Tecnologia em Análise e Desenvolvimento de Sistemas,MG,"Pará de Minas, MG, Brasil",2008/1,2010/1,C,Conclusão,Conclusão,NaN,NaN,0,NaN,70.0,19,21,2,18.695257
